Deutsch,Englisch,Kartenart,Kartentyp,Eigenschaft,Typ,Stufe_Rang_Link,ATK,DEF,Anzahl
Zeitzauberer ,Time Wizard,Monster,Effekt,Licht,Hexer,2,500,400,2
Hane-Hane ,Hane-Hane ,Monster,Effekt,Erde,Ungeheuer,2,450,500,2
Rachsüchtiger Shinobi ,Vengeful Shinobi,Monster,Effekt,Finsternis,Krieger,2,400,800,1
Nordischer Aszendent Valkyrie ,Valkyrie of the Nordic Ascendant,Monster,Effekt,Licht,Fee,2,400,800,1
Verpuppter Delfin ,Chrysalis Dolphin,Monster,Effekt,Wasser,Fisch,2,400,600,1
Heldenkind ,Hero Kid,Monster,Effekt,Erde,Krieger,2,300,600,1
Traumkobold ,Dreamsprite,Monster,Effekt,Licht,Pflanze,2,300,200,1
Jigen Bakudan ,Jigen Bakudan ,Monster,Effekt,Feuer,Pyro,2,200,1000,1
Schweigsames Insekt ,Silent Insect,Monster,Effekt,Erde,Insekt,2,200,300,1
Antiker Antrieb ,Ancient Gear,Monster,Effekt,Erde,Maschine,2,100,800,2
Giftziehfrosch ,Poison Draw Frog,Monster,Effekt,Wasser,Aqua,2,100,100,1
Untergangsbringer Psychopompos ,Doombearer Psychopompos,Monster,Effekt,Erde,Zombie,2,0,0,4
Batteriemann C ,Batteryman C,Monster,Effekt,Licht,Donner,2,0,0,2
Kleiner Kavallerist ,Little Trooper,Monster,Effekt,Erde,Krieger,1,900,500,3
"Einblum, mystisches Ungeheuer des Waldes ","Uniflora, Mystical Beast of the Forest",Monster,Effekt,Erde,Ungeheuer,1,700,500,3
Cyberlarve ,Cyber Larva,Monster,Effekt,Licht,Maschine,1,400,600,1
Despianische Tragödie ,Despian Tragedy,Monster,Effekt,Finsternis,Fee,1,400,400,8
Doppelgängerin der Königin ,Queen's Double,Monster,Effekt,Erde,Krieger,1,350,300,1
Magier des Glaubens ,Magician of Faith,Monster,Effekt,Licht,Hexer,1,300,400,1
Superstarker Samurai Trommel ,Superheavy Samurai Drum,Monster,Effekt,Erde,Maschine,1,300,300,1
Stahlskorpion,Steel Scorpion,Monster,Effekt,Erde,Maschine,1,250,300,2
Magischer Händler ,Magical Merchant,Monster,Effekt,Licht,Insekt,1,200,700,1
Aeropixdrei ,Aeropixthree,Monster,Effekt,Wind,Fee,1,200,200,2
Langsame Schwalbe ,Slower Swallow,Monster,Effekt,Wind,Geflügeltes Ungeheuer,1,100,100,5
Kuscheltier Flügel ,Fluffal Wings,Monster,Effekt,Licht,Fee,1,100,100,1
Shabtis Glücksbringer ,Charm of Shabti,Monster,Effekt,Erde,Fels,1,100,100,1
Superstarker Samurai Seelenbrecher-Handschuh ,Superheavy Samurai Soulbuster Gauntlet,Monster,Effekt,Erde,Maschine,1,0,400,1
Baby-Schlammdrache ,Baby Mudragon,Monster,Effekt,Finsternis,Drache,1,0,200,3
Cybertal ,Cyber Valley,Monster,Effekt,Licht,Maschine,1,0,0,2
T.A.D.P.O.L.E. ,T.A.D.P.O.L.E. ,Monster,Effekt,Wasser,Aqua,1,0,0,2
Der Akkumulator ,The Accumulator,Monster,Effekt,Licht,Donner,1,0,0,1
Gedankensammler-Drache ,Converging Wills Dragon,Monster,Effekt,Licht,Drache,1,0,0,4
König der Totenkopfdiener ,King of the Skull Servants,Monster,Effekt,Finsternis,Zombie,1,?,0,1
"Saambell, die Sternenbinderin ",Saambell the Star Bonder,Monster,Pendel,Wind,Hexer,3,1400,1300,2
Pazuzule ,Pazuzule ,Monster,Pendel,Finsternis,Unterweltler,1,500,500,3
Cyber End-Drache ,Cyber End Dragon,Monster,Fusion,Licht,Maschine,10,4000,2800,1
VWXYZ-Drachenkatapultkanone ,VWXYZ-Dragon Catapult Cannon,Monster,Fusion,Licht,Maschine,8,3000,2800,1
XYZ-Kanonendrache ,XYZ-Dragon Cannon,Monster,Fusion,Licht,Maschine,8,2800,2600,1
XY-Kanonendrache ,XY-Dragon Cannon,Monster,Fusion,Licht,Maschine,6,2200,1900,1
VW-Tigerkatapult ,VW-Tiger Catapult,Monster,Fusion,Licht,Maschine,6,2000,2100,2
Chimeratech-Überdrache ,Chimeratech Overdragon,Monster,Fusion,Finsternis,Maschine,9,?,?,1
D.3.S. Frosch ,D.3.S. Frog,Monster,Fusion,Wasser,Aqua,8,2500,2000,1
Menschlicher Drachenwurm ,Humanoid Worm Drake,Monster,Fusion,Wasser,Aqua,7,2200,2000,1
Steam Gyroid ,Steam Gyroid ,Monster,Fusion,Erde,Maschine,6,2200,1600,2
Gestrafter Adler ,Punished Eagle,Monster,Fusion,Wind,Geflügeltes Ungeheuer,6,2100,1800,1
Brüllende Seeschnecke ,Roaring Ocean Snake,Monster,Fusion,Wasser,Aqua,6,2100,1800,1
Kaiserliche Richterin ,Empress Judge,Monster,Fusion,Erde,Krieger,6,2100,1700,2
Tollwütiger Reiter ,Rabid Horseman,Monster,Fusion,Erde,Ungeheuer-Krieger,6,2000,1700,1
Tiefsee-Hai,Deepsea Shark,Monster,Fusion,Wasser,Fisch,5,1900,1600,1
Flammen-Schwertkämpfer ,Flame Swordsman,Monster,Fusion,Feuer,Krieger,5,1800,1600,1
Musikerkönig ,Musician King,Monster,Fusion,Licht,Hexer,5,1750,1500,2
Ojama-König ,Ojama King,Monster,Fusion,Licht,Ungeheuer,6,0,3000,1
Allvergebens die Essenz der Nichtigkeit ,Allvain the Essence of Vanity,Monster,Fusion,Finsternis,Fee,2,0,2100,4
"Thor, Herr der Asen ","Thor, Lord of the Aesir",Monster,Synchro,Erde,Ungeheuer-Krieger,10,3500,2800,1
Roter Wyrm ,Red Wyvern,Monster,Synchro,Feuer,Drache,6,2400,2000,1
Hochgeschwindigkeitsroid Kendama ,Hi-Speedroid Kendama,Monster,Synchro,Wind,Maschine,6,2200,1600,1
Gaiarüstung Drachenpanzer ,Gaiarmor Dragonshell,Monster,Synchro,Erde,Drache,6,2000,1300,2
Drachenlerche Pairen ,Dragonlark Pairen,Monster,Xyz,Wind,Wyrm,6,2700,1300,4
Gunkan-Suschiff Ikura-Klasse Panzerschiff ,Gunkan Suship Ikura-class Dreadnought,Monster,Xyz,Feuer,Aqua,4,2200,300,4
Kosmischer Schlitzer Zer'oll ,Cosmic Slicer Zer'oll,Monster,Link,Licht,Reptil,3,2600,-,4
"Ra'ten, der himmlische General ","Ra'ten, the Heavenly General",Monster,Link,Erde,Krieger,3,2200,-,4
Shinobi-Insekt Hagakuremino ,Shinobi Insect Hagakuremino,Monster,Link,Wind,Insekt,2,1000,-,4
Eilpaparazzi ,Dispatchparazzi,Monster,Link,Finsternis,Unterweltler,2,100,-,5
Marshmallon,Marshmallon,Monster,Effekt,Licht,Fee,3,300,500,3
Wiedergeburt ,Monster Reborn,Zauber,Normaler Zauber,-,-,-,-,-,12
Verräterische Schwerter ,Swords of Revealing Light,Zauber,Normaler Zauber,-,-,-,-,-,13
Gold-Sarkophag ,Gold Sarcophagus,Zauber,Normaler Zauber,-,-,-,-,-,9
Karten der Heiligkeit ,Card of Sanctity,Zauber,Normaler Zauber,-,-,-,-,-,2
Polymerisation ,Polymerization,Zauber,Normaler Zauber,-,-,-,-,-,10
Angriff mit Dunkler Magie ,Dark Magic Attack,Zauber,Normaler Zauber,-,-,-,-,-,4
Vereinigte Magier,Magicians Unite,Zauber,Normaler Zauber,-,-,-,-,-,3
Engagement durch Licht und Finsternis ,Dedication through Light and Darkness,Zauber,Schnellzauber,-,-,-,-,-,2
Schwarzes magisches Ritual ,Black Magic Ritual,Zauber,Ritualzauber,-,-,-,-,-,2
Trickreicher Zauber 4 ,Tricky Spell 4,Zauber,Schnellzauber,-,-,-,-,-,3
Symbol des Drachenzerstörers ,Emblem of Dragon Destroyer,Zauber,Normaler Zauber,-,-,-,-,-,2
Marshmallons Brille ,Marshmallon Glasses,Zauber,Permanenter Zauber,-,-,-,-,-,2
Spiegelkraft ,Mirror Force,Falle,Normale Falle,-,-,-,-,-,6
Kreis der Magier ,Magician's Circle,Falle,Normale Falle,-,-,-,-,-,3
Zerbrochene Axt ,Shattered Axe,Falle,Permanente Falle,-,-,-,-,-,2
"Stronghold, die mobile Festung ",Stronghold the Moving Fortress,Falle,Permanente Falle,-,-,-,-,-,2
Wundersame Heilung ,Miracle Restoring,Falle,Normale Falle,-,-,-,-,-,2
Dunkler Paladin ,Dark Paladin,Monster,Fusion,Finsternis,Hexer,8,2900,2400,4
Schimäre das fliegende Sagenungeheuer ,Chimera the Flying Mythical Beast,Monster,Fusion,Wind,Ungeheuer,6,2100,1800,2
"Beta, Magnetkrieger ",Beta The Magnet Warrior,Monster,Normal,Erde,Fels,4,1700,1600,2
Seelennehmer ,Soul Taker,Zauber,Normaler Zauber,-,-,-,-,-,2
"Gazelle, König der mythischen Bestien ",Gazelle the King of Mythical Beasts,Monster,Normal,Erde,Ungeheuer,4,1500,1200,2
Monsterrettung ,Monster Recovery,Zauber,Schnellzauber,-,-,-,-,-,4
Magischer Zylinder ,Magic Cylinder,Falle,Normale Falle,-,-,-,-,-,5
Licht-Schwert ,Lightforce Sword,Falle,Normale Falle,-,-,-,-,-,2
Magieartige Dimension ,Magical Dimension,Zauber,Schnellzauber,-,-,-,-,-,3
"Alpha, Magnetkrieger ",Alpha The Magnet Warrior,Monster,Normal,Erde,Fels,4,1400,1700,2
Doppel-Zauber ,Double Spell,Zauber,Normaler Zauber,-,-,-,-,-,2
Kartenzerstörung ,Card Destruction,Zauber,Normaler Zauber,-,-,-,-,-,4
Dunkle Erneuerung ,Dark Renewal,Falle,Normale Falle,-,-,-,-,-,2
Magische Hüte,Magical Hats,Falle,Normale Falle,-,-,-,-,-,5
"Valkyrion, Magnetkrieger ",Valkyrion the Magna Warrior,Monster,Effekt,Erde,Fels,8,3500,3850,2
De-Fusion ,De-Fusion ,Zauber,Schnellzauber,-,-,-,-,-,2
Magische Formel,Magic Formula,Zauber,Ausrüstungszauber,-,-,-,-,-,2
Großschild-Wache ,Big Shield Gardna,Monster,Effekt,Erde,Krieger,4,100,2600,3
Faszinierender Kreis ,Spellbinding Circle,Falle,Permanente Falle,-,-,-,-,-,2
Erzunterweltler von Gilfer ,Archfiend of Gilfer,Monster,Effekt,Finsternis,Unterweltler,6,2200,2500,2
Dunkler magischer Vorhang,Dark Magic Curtain,Zauber,Normaler Zauber,-,-,-,-,-,3
Seelenleine ,Soul Rope,Falle,Normale Falle,-,-,-,-,-,2
Topf der Gier ,Pot of Greed,Zauber,Normaler Zauber,-,-,-,-,-,3
"Gamma, Magnetkrieger ",Gamma The Magnet Warrior,Monster,Normal,Erde,Fels,4,1500,1800,2
Ektoplasmer ,Ectoplasmer,Zauber,Permanenter Zauber,-,-,-,-,-,2
Kettenzerstörung ,Chain Destruction,Falle,Normale Falle,-,-,-,-,-,5
Tragödie ,Tragedy,Falle,Normale Falle,-,-,-,-,-,2
Tausend Messer ,Thousand Knives,Zauber,Normaler Zauber,-,-,-,-,-,3
Austausch ,Exchange,Zauber,Normaler Zauber,-,-,-,-,-,2
Wellenbewegungsdiffusion ,Diffusion Wave-Motion,Zauber,Normaler Zauber,-,-,-,-,-,2
Berfomet ,Berfomet ,Monster,Effekt,Finsternis,Unterweltler,5,1400,1800,2
Slifer der Himmelsdrache (Promo),Slifer the Sky Dragon (Promo),Monster,Promo,Göttlich,Göttliches Ungeheuer,10,X000,X000,2
Obelisk der Peiniger (Promo),Obelisk the Tormentor (Promo),Monster,Promo,Göttlich,Göttliches Ungeheuer,10,4000,4000,2
Der geflügelte Drache von Ra (Promo),The winged Dragon of Ra (Promo),Monster,Promo,Göttlich,Göttliches Ungeheuer,10,?,?,2
Drachenmeister Gaia ,Gaia the Dragon Champion,Monster,Fusion,Wind,Drache,7,2600,2100,2
Riesen-Steinsoldat ,Giant Soldier of Stone,Monster,Normal,Erde,Fels,3,1300,2000,5
Schwarz Glänzender Soldat - Gesandter des Anfangs ,Black Luster Soldier - Envoy of the Beginning,Monster,Effekt,Licht,Krieger,8,3000,2500,2
Keltischer Wächter ,Celtic Guardian,Monster,Normal,Erde,Krieger,4,1400,1200,2
Linkes Bein der Verbotenen ,Left Leg of the Forbidden One,Monster,Normal,Finsternis,Hexer,1,200,300,3
Wilder Kobold ,Feral Imp,Monster,Normal,Finsternis,Unterweltler,4,1300,1400,2
Mammutfriedhof ,Mammoth Graveyard,Monster,Normal,Erde,Dinosaurier,3,1200,800,3
Zauberbrechender Pfeil,Spell Shattering Arrow,Zauber,Schnellzauber,-,-,-,-,-,2
Brennendes Land ,Burning Land,Zauber,Permanenter Zauber,-,-,-,-,-,2
Rechter Arm der Verbotenen ,Right Arm of the Forbidden One,Monster,Normal,Finsternis,Hexer,1,200,300,3
Rechtes Bein der Verbotenen ,Right Leg of the Forbidden One,Monster,Normal,Finsternis,Hexer,1,200,300,3
Katapult-Schildkröte ,Catapult Turtle,Monster,Effekt,Wasser,Aqua,5,1000,2000,2
Elektromagnetische Schildkröte ,Electromagnetic Turtle,Monster,Effekt,Licht,Maschine,4,0,1800,3
Mystischer Mond ,Mystical Moon,Zauber,Ausrüstungszauber,-,-,-,-,-,2
"Geflügelter Drache, Festungswächter #1 ","Winged Dragon, Guardian of the Fortress #1",Monster,Normal,Wind,Drache,4,1400,1200,2
"Gaia, zorniger Ritter ",Gaia The Fierce Knight,Monster,Normal,Erde,Krieger,7,2300,2100,2
Biberkrieger ,Beaver Warrior,Monster,Normal,Erde,Ungeheuer-Krieger,4,1200,1500,2
"Exodia, die Verbotene ",Exodia the Forbidden One,Monster,Effekt,Finsternis,Hexer,3,1000,1000,3
Drachenfluch ,Curse of Dragon,Monster,Normal,Finsternis,Drache,5,2000,1500,2
"Makiu, der magische Nebel ","Makiu, the Magical Mist",Zauber,Normaler Zauber,-,-,-,-,-,2
Herbeigerufener Totenkopf ,Summoned Skull,Monster,Normal,Finsternis,Unterweltler,6,2500,1200,2
Gehirnkontrolle ,Brain Control,Zauber,Normaler Zauber,-,-,-,-,-,3
Mystische Box ,Mystic Box,Zauber,Normaler Zauber,-,-,-,-,-,2
Griffore ,Griffore ,Monster,Normal,Erde,Ungeheuer,4,1200,1500,2
Linker Arm der Verbotenen ,Left Arm of the Forbidden One,Monster,Normal,Finsternis,Hexer,1,200,300,4
Horn des Einhorns ,Horn of the Unicorn,Zauber,Ausrüstungszauber,-,-,-,-,-,2
Auge der Wahrheit ,The Eye of Truth,Falle,Permanente Falle,-,-,-,-,-,2
Verlagerung ,Shift,Falle,Normale Falle,-,-,-,-,-,2
Schwarzes Loch,Dark Hole,Zauber,Normaler Zauber,-,-,-,-,-,4
Alexandrit-Drache ,Alexandrite Dragon,Monster,Normal,Licht,Drache,4,2000,100,4
Schimmerdrache ,Luster Dragon,Monster,Normal,Wind,Drache,4,1900,1600,3
Sakuretsu-Rüstung ,Sakuretsu Armor,Falle,Normale Falle,-,-,-,-,-,3
Kaiser-Gleiter ,Kaiser Glider,Monster,Effekt,Licht,Drache,6,2400,2200,2
Mystischer Raum-Taifun ,Mystical Space Typhoon,Zauber,Schnellzauber,-,-,-,-,-,10
Ruf der Gejagten ,Call of the Haunted,Falle,Permanente Falle,-,-,-,-,-,8
Kaiba-Mann,Kaibaman,Monster,Effekt,Licht,Krieger,3,200,700,3
Umfassende Verwüstung ,Widespread Ruin,Falle,Normale Falle,-,-,-,-,-,1
Flamvell-Wache ,Flamvell Guard,Monster,Effekt,Feuer,Drache,1,100,2000,3
"Drache, der in der Höhle haust ",The Dragon Dwelling in the Cave,Monster,Normal,Wind,Drache,4,1300,2000,1
Dunkelklinge ,Dark Blade,Monster,Normal,Finsternis,Krieger,4,1800,1500,1
Zwangsevakuierungsgerät ,Compulsory Evacuation Device,Falle,Normale Falle,-,-,-,-,-,9
Fallgrube ,Trap Hole,Falle,Normale Falle,-,-,-,-,-,4
Rotäugiger Leuchtfeuer-Metalldrache ,Red-Eyes Flare Metal Dragon,Monster,Xyz,Finsternis,Drache,7,2800,2400,3
Erzunterweltler Schwarzer Totenkopfdrache ,Archfiend Black Skull Dragon,Monster,Fusion,Finsternis,Drache,9,3200,2500,1
Alligatorschwert-Drache ,Alligator's Sword Dragon,Monster,Fusion,Wind,Drache,5,1700,1500,1
Magischer Zeithammer ,Time Magic Hammer,Monster,Fusion,Licht,Hexer,2,500,400,1
Bogen der Göttin ,Goddess Bow,Monster,Fusion,Licht,Krieger,4,1500,1600,1
Rotäugiges schwarzes Drachenschwert ,Red-Eyes Black Dragon Sword,Monster,Fusion,Finsternis,Drache,7,2400,2000,1
Hermos-Raketenkanone ,Rocket Hermos Cannon,Monster,Fusion,Licht,Krieger,4,1500,1300,1
Tausenddrache ,Thousand Dragon,Monster,Fusion,Wind,Drache,7,2400,2000,1
Blauer Flammen-Schwertkämpfer,Blue Flame Swordsman,Monster,Effekt,Feuer,Krieger,4,1800,1600,1
Phönix-Gerfried ,Phoenix Gearfried,Monster,Effekt,Feuer,Krieger,8,2800,2200,1
Zwillingsbeschwörer ,Gemini Summoner,Monster,Effekt,Wasser,Hexer,4,1500,0,1
Glutflügel-Schmetterling ,Blazewing Butterfly,Monster,Effekt,Feuer,Insekt,4,1500,1500,1
Finstere Valkyre ,Dark Valkyria,Monster,Effekt,Finsternis,Fee,4,1800,1050,1
Gebieterischer Ritter ,Command Knight,Monster,Effekt,Feuer,Krieger,4,1200,1900,2
Valkyrischer Ritter ,Valkyrian Knight,Monster,Effekt,Feuer,Krieger,4,1900,1200,1
Hüter des Schreins ,Keeper of the Shrine,Monster,Effekt,Finsternis,Drache,4,0,2100,1
Racketen-Krieger ,Rocket Warrior,Monster,Effekt,Licht,Krieger,4,1500,1300,1
"Gerfried, Eisenritter ",Gearfried the Iron Knight,Monster,Effekt,Erde,Krieger,4,1800,1600,1
Goblin Angriffstrupp ,Goblin Attack Force,Monster,Effekt,Erde,Krieger,4,2300,0,1
Jinzo ,Jinzo ,Monster,Effekt,Finsternis,Maschine,6,2400,1500,1
Babydrache ,Baby Dragon,Monster,Normal,Wind,Drache,3,1200,700,1
Alligatorschwert ,Alligator's Sword,Monster,Normal,Erde,Ungeheuer,4,1500,1200,1
Axträuber ,Axe Raider,Monster,Normal,Erde,Krieger,4,1700,1150,1
Schwarzer Metalldrache ,Black Metal Dragon,Monster,Effekt,Finsternis,Drache,1,600,600,1
Der schwarze Stein der Legende,The Black Stone of Legend,Monster,Effekt,Finsternis,Drache,1,0,0,1
Rotäugiger Retrodrache ,Red-Eyes Retro Dragon,Monster,Effekt,Finsternis,Drache,4,1700,1600,1
Rotäugiger Erzunterweltler der Blitze,Red-Eyes Archfiend of Lightning,Monster,Effekt,Finsternis,Unterweltler,6,2500,1200,1
Rotäugiger schwarzer Leuchtfeuerdrache ,Red-Eyes Black Flare Dragon,Monster,Effekt,Finsternis,Drache,7,2400,2000,1
Rotäugiger schwarzer Drache ,Red-Eyes Black Dragon,Monster,Normal,Finsternis,Drache,7,2400,2000,3
Klaue des Hermos ,The Claw of Hermos,Zauber,Normaler Zauber,-,-,-,-,-,1
Drachenodem des Infernos ,Inferno Fire Blast,Zauber,Normaler Zauber,-,-,-,-,-,1
Rotäugige Fusion ,Red-Eyes Fusion,Zauber,Normaler Zauber,-,-,-,-,-,5
Karten des roten Steins ,Cards of the Red Stone,Zauber,Normaler Zauber,-,-,-,-,-,1
Salamandra ,Salamandra ,Zauber,Ausrüstungszauber,-,-,-,-,-,1
Törichtes Begräbnis ,Foolish Burial,Zauber,Normaler Zauber,-,-,-,-,-,11
Roulettespinne ,Roulette Spider,Zauber,Schnellzauber,-,-,-,-,-,1
Überwachen ,Supervise,Zauber,Ausrüstungszauber,-,-,-,-,-,1
Symbole der Pflicht ,Symbols of Duty,Zauber,Ausrüstungszauber,-,-,-,-,-,1
Rotäugiger Geist ,Red-Eyes Spirit,Falle,Normale Falle,-,-,-,-,-,2
Kunai mit Kette,Kunai with Chain,Falle,Normale Falle,-,-,-,-,-,2
Reißender Tribut ,Torrential Tribute,Falle,Normale Falle,-,-,-,-,-,5
Flammender Odem ,Burst Breath,Falle,Normale Falle,-,-,-,-,-,1
Fluch des Anubis,Curse of Anubis,Falle,Normale Falle,-,-,-,-,-,1
Rückkehr der Rotäugigen ,Return of the Red-Eyes,Falle,Permanente Falle,-,-,-,-,-,3
Sangan ,Sangan ,Monster,Effekt,Finsternis,Unterweltler,3,1000,600,5
Kuribandit ,Kuribandit ,Monster,Effekt,Finsternis,Unterweltler,3,1000,700,1
Künstlerkumpel Kuribohble ,Performapal Kuribohble,Monster,Effekt,Finsternis,Unterweltler,1,300,200,1
Unheil verkündende Schlange ,Sinister Serpent,Monster,Effekt,Wasser,Reptil,1,300,250,1
Vertrag mit Exodia ,Contract with Exodia,Zauber,Normaler Zauber,-,-,-,-,-,2
Exodia Necross ,Exodia Necross ,Monster,Effekt,Finsternis,Hexer,4,1800,0,2
Valkyre des Magiers ,Magician's Valkyria,Monster,Effekt,Licht,Hexer,4,1600,1800,1
Thaumaturgist der Qualen ,Blast Magician,Monster,Effekt,Feuer,Hexer,4,1400,1700,1
Friedensbote ,Messenger of Peace,Zauber,Permanenter Zauber,-,-,-,-,-,1
Inkarnation der legendären Exodia ,The Legendary Exodia Incarnate,Monster,Effekt,Finsternis,Hexer,10,?,0,1
Monster-Reinkarnation ,Monster Reincarnation,Zauber,Normaler Zauber,-,-,-,-,-,1
Ersatzsoldat ,Backup Soldier,Falle,Normale Falle,-,-,-,-,-,1
Auslöschen!!! ,Obliterate!!!,Falle,Permanente Falle,-,-,-,-,-,1
Schwerkraftbindung ,Gravity Bind,Falle,Permanente Falle,-,-,-,-,-,1
Geschwisterbund ,Ties of the Brethren,Zauber,Normaler Zauber,-,-,-,-,-,1
Dunkle Fabrik der Massenproduktion ,Dark Factory of Mass Production,Zauber,Normaler Zauber,-,-,-,-,-,1
Kanindrache ,Rabidragon,Monster,Normal,Licht,Drache,8,2950,2900,1
Maid mit den blauen Augen,Maiden with Eyes of Blue,Monster,Effekt,Licht,Hexer,1,0,0,1
Reiter der Sturmwinde ,Rider of the Storm Winds,Monster,Effekt,Licht,Drache,1,500,200,1
Finstersturm-Drache ,Darkstorm Dragon,Monster,Effekt,Finsternis,Drache,8,2700,2500,1
Priesterlicher Drache von Tefnuit ,Hieratic Dragon of Tefnuit,Monster,Effekt,Licht,Drache,6,2100,1400,1
Trugbild-Drache,Mirage Dragon,Monster,Effekt,Licht,Drache,4,1600,600,1
Himmlischer Drache Apokralyph,Divine Dragon Apocralyph,Monster,Effekt,Finsternis,Drache,4,1000,1500,1
Der weiße Stein der Legende,The White Stone of Legend,Monster,Effekt,Licht,Drache,1,300,250,4
Herold der Schöpfung,Herald of Creation,Monster,Effekt,Licht,Hexer,4,1800,600,1
Aufrichtig ,Honest,Monster,Effekt,Licht,Fee,4,1100,1900,5
Ruf des Silbernen,Silver's Cry,Zauber,Schnellzauber,-,-,-,-,-,1
Drachenodem der Zerstörung,Burst Stream of Destruction,Zauber,Normaler Zauber,-,-,-,-,-,4
Stampfende Zerstörung ,Stamping Destruction,Zauber,Normaler Zauber,-,-,-,-,-,1
Flügelschlag des Drachengiganten,A Wingbeat of Giant Dragon,Zauber,Normaler Zauber,-,-,-,-,-,1
Inzahlungnahme,Trade-In,Zauber,Normaler Zauber,-,-,-,-,-,10
Karten des Einklangs,Cards of Consonance,Zauber,Normaler Zauber,-,-,-,-,-,1
Geschenk des weißen Elefanten,White Elephant's Gift,Zauber,Normaler Zauber,-,-,-,-,-,1
Einer für einen,One for One,Zauber,Normaler Zauber,-,-,-,-,-,4
Drachentaktiken,Dragonic Tactics,Zauber,Normaler Zauber,-,-,-,-,-,1
Seelentausch,Soul Exchange,Zauber,Normaler Zauber,-,-,-,-,-,3
Feindkontrolle,Enemy Controller,Zauber,Schnellzauber,-,-,-,-,-,2
Burg der Drachenseelen,Castle of Dragon Souls,Falle,Permanente Falle,-,-,-,-,-,1
Teuflische Kette,Fiendish Chain,Falle,Permanente Falle,-,-,-,-,-,2
Wachsamkeit des Champions,Champion's Vigilance,Falle,Konterfalle,-,-,-,-,-,1
Azuräugiger silberner Drache ,Azure-Eyes Silver Dragon,Monster,Synchro,Licht,Drache,9,2500,3000,4
Himmelsbrennen des Feuerkönigs,Fire King Sky Burn,Zauber,Schnellzauber,-,-,-,-,-,3
Staffelflug der Feuerkönige ,Echelon of the Fire Kings,Falle,Normale Falle,-,-,-,-,-,3
Feuerkönig Avatar Garunix,Fire King Avatar Garunix,Monster,Effekt,Feuer,Geflügeltes Ungeheuer,3,700,1700,3
Feuerkönig Avatar Barong ,Fire King Avatar Barong,Monster,Effekt,Feuer,Ungeheuer-Krieger,4,1800,200,3
Feuerkönig Avatar Yaksha,Fire King Avatar Yaksha,Monster,Effekt,Finsternis,Ungeheuer-Krieger,4,1800,200,3
Feuerkönig Avatar Kirin,Fire King Avatar Kirin,Monster,Effekt,Feuer,Ungeheuer,3,1000,200,3
"Blaster, Drachenherrscher der Infernos ","Blaster, Dragon Ruler of Infernos",Monster,Effekt,Feuer,Drache,7,2800,1800,3
"Burner, Drachenherrscher der Funken","Burner, Dragon Ruler of Sparks",Monster,Effekt,Feuer,Drache,3,1000,200,4
Coachkapitän Bärenmensch ,Coach Captain Bearman,Monster,Effekt,Feuer,Ungeheuer-Krieger,8,2600,2700,3
Coachsoldat Bellwolf ,Coach Soldier Wolfbark,Monster,Effekt,Feuer,Ungeheuer-Krieger,4,1600,1200,3
"Wahrer König Agnimazud, der Verschwindende","True King Agnimazud, the Vanisher",Monster,Effekt,Feuer,Wyrm,9,2900,1900,3
Der flammende Mars ,The Blazing Mars,Monster,Effekt,Feuer,Pyro,8,2600,2200,3
Leuchtfeuer-Koloss ,Bonfire Colossus,Monster,Effekt,Feuer,Ungeheuer-Krieger,8,2600,2200,3
Heiliger Phönix von Nephthys ,Sacred Phoenix of Nephthys,Monster,Effekt,Feuer,Geflügeltes Ungeheuer,8,2400,1600,3
Königliche Feuersturmwache ,Royal Firestorm Guards,Monster,Effekt,Feuer,Pyro,4,1700,1200,3
Geist der Flammen ,Spirit of Flames,Monster,Effekt,Feuer,Pyro,4,1700,1000,3
Fechtendes Feuerfrettchen ,Fencing Fire Ferret,Monster,Effekt,Feuer,Ungeheuer,4,1700,600,3
Hitzköpfige Hymnendichterin ,Firebrand Hymnist,Monster,Effekt,Feuer,Pyro,3,800,200,3
"Alpha, Bestienmeister ","Alpha, the Master of Beasts",Monster,Effekt,Erde,Ungeheuer,8,3000,2500,4
Kreis der Feuerkönige ,Circle of the Fire Kings,Zauber,Schnellzauber,-,-,-,-,-,3
Wiederaufleben ,Rekindling,Zauber,Normaler Zauber,-,-,-,-,-,3
Feuerformation - Tenki ,Fire Formation - Tenki,Zauber,Permanenter Zauber,-,-,-,-,-,6
Herold des Abgrunds ,Herald of the Abyss,Zauber,Normaler Zauber,-,-,-,-,-,3
Flamvell-Konter ,Flamvell Counter,Falle,Konterfalle,-,-,-,-,-,3
Spiritistische Feuerkunst - Kurenai ,Spiritual Fire Art - Kurenai,Falle,Normale Falle,-,-,-,-,-,3
Feierliches Urteil ,Solemn Judgment,Falle,Konterfalle,-,-,-,-,-,3
Kraftentzugsstein ,Powersink Stone,Falle,Permanente Falle,-,-,-,-,-,3
Feuerkönig Hochavatar Garunix ,Fire King High Avatar Garunix,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,8,2700,1700,3
Insel des Feuerkönigs ,Fire King Island,Zauber,Spielfeldzauber,-,-,-,-,-,3
"Hiita, die Feuerverzaubererin in Flammen ","Hiita the Fire Charmer, Ablaze",Monster,Link,Feuer,Hexer,2,1850,-,7
Feuerkönig Avatar Rangbali ,Fire King Avatar Rangbali,Monster,Effekt,Feuer,Ungeheuer-Krieger,4,1600,200,3
